idx,label,sentence1,sentence2,explanation
9495,neutral,A dog gnawing on a bone.,A dog found a bone,Not just because a dog is gnawing on a bone doesn't mean he found it
9496,contradiction,A dog gnawing on a bone.,A dog is fetching a stick,The dog can't be gnawing on a bone if he's fetching a stick.
9497,neutral,A dog gnawing on a bone.,A dog is looking for a spot to hide his bone,A dog can gnaw on a bone without looking for a place to hide it.
9498,entailment,A girl in sunglasses smiles.,Smiling girl wearing sunglasses.,The girl is smiling with her sunglasses on
9499,contradiction,A girl in sunglasses smiles.,Girl wearing a hat crying.,Girl is either smiling or crying.
9500,neutral,A girl in sunglasses smiles.,Girl wearing sunglasses smiling at a friend.,A girl wearing sunglasses smiling does not imply that it would be at a friend necessarily.
9501,entailment,A soccer player in a lime green shirt looks down at a yellow soccer ball.,A person is playing soccer,A person needs to be playing soccer in order to look down at a yellow soccer ball.
9502,neutral,A soccer player in a lime green shirt looks down at a yellow soccer ball.,The player is female,A soccer play doesn't indicate whether the player is female.
9503,contradiction,A soccer player in a lime green shirt looks down at a yellow soccer ball.,The shirt is blue,The shirt cannot be both blue and green.
9504,neutral,Two black dogs in the snow.,Black puppies are frolicking among the freshly fallen snow.,Dogs are not assumed to be puppies.  Dogs in the snow are not assumed to be frolicking in it.  Snow is not assumed to be freshly fallen.
9505,contradiction,Two black dogs in the snow.,The pets are waiting in the kitchen for a treat.,"The dogs can't be in the snow if they're in the kitchen. Likewise, the dogs can't be in the kitchen if they're in the snow."
9506,entailment,Two black dogs in the snow.,Two dogs are outside.,Snow falls from the sky so it is always outside.
9507,neutral,A lady with a purse on his shoulder reaching upward and putting a crown in a statue's hand.,There is a lady putting a crown on her statue.,"Just because she's putting a crown on the statue, It's not necessarily the her statue."
9508,contradiction,A lady with a purse on his shoulder reaching upward and putting a crown in a statue's hand.,There is a lady in her bikini swimming.,Nobody wears a purse when is wearing a bikini
9509,entailment,A lady with a purse on his shoulder reaching upward and putting a crown in a statue's hand.,There is a lady wearing a purse.,Answer : Wearing refers to with a purse.
9510,neutral,A man carrying a bag from a stick is walking down the sidewalk.,A man is walking to the train station.,When a man walking down the side walk need not necessarily be walking to the train station.
9511,entailment,A man carrying a bag from a stick is walking down the sidewalk.,There is a man walking.,A man walking down the sidewalk can be more simply rephrased as 'There is a man walking'.
9512,contradiction,A man carrying a bag from a stick is walking down the sidewalk.,A person is playing football.,A person would not be able to be walking down a sidewalk and also playing football.
9513,entailment,Young male in blue shirt and tan pants rollerblading.,The young man is moving.,Rollerblading is the same as moving.
9514,contradiction,Young male in blue shirt and tan pants rollerblading.,The young man is doing yoga.,The young man cannot be rollerblading and doing yoga simultaneously.
9515,neutral,Young male in blue shirt and tan pants rollerblading.,The young man is at the skating rink.,You don't need to be in a skating rink to go rollerblading.
9516,neutral,A woman swinging a tennis racket on an outdoor court.,A woman is enjoying a game of tennis with her best friend.,A woman can play tennis with someone other than her best friend.
9517,contradiction,A woman swinging a tennis racket on an outdoor court.,A woman is playing basketball at the park.,A woman cannot be playing both basketball and tennis at the same time.
9518,entailment,A woman swinging a tennis racket on an outdoor court.,A woman is using her tennis racket.,The tennis racket that the women is swinging is her racket.
9519,entailment,A man spiking the ball at a volleyball game.,The teams play against one another during a volleyball game.,The volleyball game consists of mulltiple people and the teams must play against eachother
9520,contradiction,A man spiking the ball at a volleyball game.,The man misses the volleyball.,The man can't be spiking the ball is he misses.
9521,neutral,A man spiking the ball at a volleyball game.,The volleyball game is being held on the beach.,Not all valleyball games are held on the beach.
9522,contradiction,Two men stand in an electric outdoor lift.,The men kick the soccer ball back and forth on the soccer field.,Soccer ball cannot be kicked in a lift.
9523,neutral,Two men stand in an electric outdoor lift.,"The two men are inspectors for the FDA, waiting to inspect the second level of the pharmaceutical plant.","Not all men are inspectors for the FDA. Standing in an electric lift does not mean they are headed to the second level, and not all electric outdoor lifts are at pharmaceutical plants."
9524,entailment,Two men stand in an electric outdoor lift.,"There are two men in this picture, and they are outside.",Two men are in an electric lift outside.
9525,neutral,A curly-haired man and a woman in a black tank top both play guitars and sing at a festival.,A brother and sister are playing in their band at a festival.,A man and woman can play instruments and sing at a festival without being brother and sister.
9526,entailment,A curly-haired man and a woman in a black tank top both play guitars and sing at a festival.,Two people are singing.,A man and woman together are two people
9527,contradiction,A curly-haired man and a woman in a black tank top both play guitars and sing at a festival.,A man and his daughter are dancing at the festival.,"There can either be a man and a woman or a man and his daughter, who either play guitar and sing or are dancing."
9528,contradiction,Leaving the amusement park with lots of prizes.,Staying at the amusment park until the cops show up.,"Leaving and staying are opposite actions, but one could have lots of prizes whether or not cops show up."
9529,entailment,Leaving the amusement park with lots of prizes.,Leaving the amusment park.,Leaving with lots of prizes indicates the act of leaving.
9530,neutral,Leaving the amusement park with lots of prizes.,Leaving the amusment park with a giant teddy bear.,There is more than the one price and it's not necessarily a teddy bear.
9531,neutral,A young girl washes an automobile.,The girl has a red bucket of water.,Washing an automobile doesn't imply haveing a red bucket of water.
9532,contradiction,A young girl washes an automobile.,The girl is driving the car as she washes it.,The girl cannot be driving her car at the same time as she is washing it.
9533,neutral,A young girl washes an automobile.,The girl is outside.,A girl washing an automobile doesn't necessarily imply she is outside. She could be in the garage.
9534,neutral,A young girl washing a lime-green car.,A young girl raising money by washing a car.,Raising money is not the only reason the people wash cars.
9535,contradiction,A young girl washing a lime-green car.,An old man washing a lime-green car.,"The person cannot simultaneously be young and old, and must be either a girl or a man"
9536,entailment,A young girl washing a lime-green car.,A young girl washing a car.,"""A young girl washing a lime-green car"" is a more specific rephrasing of ""a young girl washing a car""."
9537,neutral,A boy and dog are on the lawn outside of the house and in front of the flower bed.,A boy and his dog walk through the lawn looking for toys.,Sentence one never implies that they are walking or looking for anything.
9538,entailment,A boy and dog are on the lawn outside of the house and in front of the flower bed.,A boy and dog play outside.,"The lawn is outside. If a boy and a dog are on the lawn, they are playing."
9539,contradiction,A boy and dog are on the lawn outside of the house and in front of the flower bed.,A girl and her mother walk to the car.,"They cannot be a boy and a dog and a girl and her mother simultaneously, and they are either on the lawn or they are walking to the car."
9540,neutral,A large black and white dog is catching a Frisbee in the park with a crowd of people behind him.,"The crowd at the park cheer as the large dog catch the Frisbee in its mouth, which is quite impressive.","Sentence 1 says there is a crowd present, but it doesn't say they cheer."
9541,neutral,A large black and white dog is catching a Frisbee in the park with a crowd of people behind him.,"The people at the park are not impressed with the dog playing Frisbee, as misses the catch.",The dog might not miss the catch.
9542,entailment,A large black and white dog is catching a Frisbee in the park with a crowd of people behind him.,"There's a crowd of people at the park, and a big dog gets in into the act, catching a Frisbee in its mouth.","When a dog is catching a frisbee, it is in its mouth."
9543,entailment,A man in a light pink polo shirt holds a flag splayed out in the air behind him.,a man holds a flag,Both man holds a flag.
9544,contradiction,A man in a light pink polo shirt holds a flag splayed out in the air behind him.,a man is laying at the beach,A man who holds a flag cannot be laying.
9545,neutral,A man in a light pink polo shirt holds a flag splayed out in the air behind him.,a man is holding a racing flag,The flag doesn't have to be a racing flag.
9546,neutral,A young man trying to buy a car from his dealer after his old car was towed away by police.,A man trying to buy a new car from someone.,buy doesn't mean new car
9547,entailment,A young man trying to buy a car from his dealer after his old car was towed away by police.,A man attempting to purchase another car.,A man is suppose to buy a car.
9548,contradiction,A young man trying to buy a car from his dealer after his old car was towed away by police.,A person renting a vehicle.,Buying a car is not renting a car
9549,entailment,A woman huge a fluffy white dog.,The dog is embraced by the woman,A woman hugging a white dog is the same as dog embraced by the woman.
9550,contradiction,A woman huge a fluffy white dog.,The cat is eating pizza,"If animals had opposites, I'd say the opposite of a dog is a cat."
9551,neutral,A woman huge a fluffy white dog.,The dog is large,Not all the dogs are large.
9552,contradiction,A female figure skater in costume is executing a routine.,A man is roller skating on a street.,He refers to a female not a man. They cannot be executing a figure skating routine and roller skating simultaneously.
9553,neutral,A female figure skater in costume is executing a routine.,A woman is competing soon.,She could have been simply showing her routine to friends instead of preparing to compete soon.
9554,entailment,A female figure skater in costume is executing a routine.,A skater is on the ice.,Skater executing a routine implies on the ice.
9555,neutral,An Asian woman mixing cucumbers.,A woman is making her husband a meal.,"There is no information to suggest that the woman is making a meal, or that she is making something for her husband."
9556,entailment,An Asian woman mixing cucumbers.,A woman is cooking.,Mixing cucumbers is a form of cooking.
9557,contradiction,An Asian woman mixing cucumbers.,A man is making sushi.,A woman can never be a man.
9558,entailment,"A crowd of people are surrounding a street performance, there are buildings in the background.",A crowd of people are on a street,People are surrounding a street performance.
9559,neutral,"A crowd of people are surrounding a street performance, there are buildings in the background.",A crowd of people are watching a breakdancer pull over his signature moves,"If people are watching a street performance, it is not necessarily a breakdancer."
9560,contradiction,"A crowd of people are surrounding a street performance, there are buildings in the background.",A crowd of people are riding a train,crowd  surrounding a street performance cant be inferred as riding in train
9561,contradiction,A child holds sparklers in the dark.,A man holds sparklers in the dark.,A child and a man are two different ages.
9562,entailment,A child holds sparklers in the dark.,A child holds fireworks in the dark.,Child holds sparklers is repeated as child holds fireworks.
9563,neutral,A child holds sparklers in the dark.,A child holds bright sparklers in the dark.,Sparklers might not have been lit in which case it cannot be claimed that the child is holding bright sparklers.
9564,neutral,"Five children are on a slide, all dressed in different colored clothes.",Children playing in a park.,"Five children  on a slide, all dressed in different colored clothes doesn't mean the children should be playing in a park."
9565,entailment,"Five children are on a slide, all dressed in different colored clothes.",Children are on a slide.,shows that all the children are on the slide
9566,contradiction,"Five children are on a slide, all dressed in different colored clothes.",Children sleeping at night.,Children sleeping at night cannot be on a slide simultaneously.
9567,entailment,A man in an orange vest and hat is shoveling rocks while another man in a yellow and blue jacket looks on.,A person in a vest,"The man is a person, he is in a vest implies the man in orange and not the man in the jacket."
9568,contradiction,A man in an orange vest and hat is shoveling rocks while another man in a yellow and blue jacket looks on.,Nobody has a vest,The man either has a vest or doesn't.
9569,neutral,A man in an orange vest and hat is shoveling rocks while another man in a yellow and blue jacket looks on.,A tall person in a vest,Not all men are tall some are short.
9570,entailment,Football players playing in mud.,Football players are dirty.,"As the football players are in mud, this means they are dirty."
9571,contradiction,Football players playing in mud.,Football players are playing chess.,You would not play chess in the mud.
9572,neutral,Football players playing in mud.,Football players are wrestling in mud.,Just because football players are playing does not mean they are wrestling.
9573,entailment,A man in an orange kayak and a man in a blue kayak paddle around a beautiful lake.,Two men are at the lake,"A man and a man means there are two, and more than one man is men. To paddle around a lake in a kayak means they are at the lake."
9574,neutral,A man in an orange kayak and a man in a blue kayak paddle around a beautiful lake.,Two men are racing around a lake,Just because two people are kayaking around a lake doesn't mean they are racing.
9575,contradiction,A man in an orange kayak and a man in a blue kayak paddle around a beautiful lake.,Two men are sitting in front of a fire,The two men can either paddle around a lake or sit in front of the fire.
9576,entailment,A man speaking to a woman with a stroller in a room with several dinners.,a man speaks to a woman,Speaks is the present participle form of speaking.
9577,contradiction,A man speaking to a woman with a stroller in a room with several dinners.,the man is black,The man need not be black.
9578,contradiction,A man speaking to a woman with a stroller in a room with several dinners.,the man is at home sleeping,A sleeping man can't be talking to a woman at the same time.
9579,neutral,Skier wearing red walking up a snowy hillside.,Skier walking up hill towards the ski lift.,A ski lift isn't the only reason someone would walk uphil.
9580,contradiction,Skier wearing red walking up a snowy hillside.,Skier walking up the hill to the water slide.,A water slide is not on a snowy hillside.
9581,entailment,Skier wearing red walking up a snowy hillside.,Skier in red suit walking up the hill.,skier wearing red is the same as a red suit
9582,contradiction,A man wearing an apron is smiling at a plate of food.,The woman looked at the food plate and frowned.,A man and woman are two different genders.
9583,entailment,A man wearing an apron is smiling at a plate of food.,The man is happy by the sight of the food before him.,"Since the man is smiling at a plate of food, that food must be before (in front of) him; smiling is typical of a happy mood; food is usually more significant than the plate it is on, so the smiling is probably regarding the food specifically; the sight of food can make a man happy."
9584,neutral,A man wearing an apron is smiling at a plate of food.,The food plate was the first meal the man will have today.,Just because a man is smiling at a plate of food it does not mean the food plate was the first meal the man will have today.
9585,entailment,A man in a red shirt is being serviced by a working old woman in a store.,A man in a store.,A man being serviced by a working old woman in a store shows that the man is in a store.
9586,contradiction,A man in a red shirt is being serviced by a working old woman in a store.,A man drinks orange koolaid.,The cannot drink and being serviced at the same time.
9587,neutral,A man in a red shirt is being serviced by a working old woman in a store.,A lady waits on a man in the general store.,Not all stores are general stores.
9588,neutral,A man and woman sit on a dock looking out over the water on an overcast day.,The man and woman are a couple.,This first sentence does not necessarily mean they are a couple.
9589,contradiction,A man and woman sit on a dock looking out over the water on an overcast day.,"It is a beautiful blue, cloudless day at the dock.",In overcast days there will be clouds covering a major part of the sky
9590,entailment,A man and woman sit on a dock looking out over the water on an overcast day.,The day is gloomy and poorly lit.,Gloomy and poorly lit implies an overcast day.
9591,neutral,A bridesmaid gives a toast with a microphone while two other bridesmaids and a gentleman look on.,A bridesmaid is telling a story about the bride's childhood.,The bridesmaid may not have been talking about the bride's childhood.
9592,entailment,A bridesmaid gives a toast with a microphone while two other bridesmaids and a gentleman look on.,A bridesmaid is giving a toast.,A bridesmaid giving a toast is part of the whole description wherein a gentleman looks on.
9593,contradiction,A bridesmaid gives a toast with a microphone while two other bridesmaids and a gentleman look on.,The bridesmaid's hands are empty.,If the bridesmaid is using a microphone then her hands are not empty.
9594,neutral,A lady in a red sweatshirt opening a present.,It is the lady's birthday.,Just because a lady is opening a present doesn't mean it is the lady's birthday.
9595,entailment,A lady in a red sweatshirt opening a present.,The lady is wearing red.,BOTH OF THE  THE LADY HAS ON RED.
9596,contradiction,A lady in a red sweatshirt opening a present.,The lady is wearing a blue shirt.,"The lady is wearing a red sweatshirt, therefore her shirt isn't blue."
9597,contradiction,Brown dog running through shallow water.,A dog is sleeping on a blanket.,The dog cannot simultaneously be running and sleeping
9598,neutral,Brown dog running through shallow water.,A basset hound is running.,A brown dog does not necessarily mean it is a basset hound.
9599,entailment,Brown dog running through shallow water.,A dog is running.,A brown dog can be commonly referred to as a dog.
9600,entailment,A balding man is getting his shoes cleaned on a street corner.,A man outside.,A man is on a street corner which is outside.
9601,contradiction,A balding man is getting his shoes cleaned on a street corner.,A boy delivering newspapers.,A boy is not yet a man.
9602,neutral,A balding man is getting his shoes cleaned on a street corner.,An old man getting his shoes shined.,"Men can bald at age 20, therefore not all balding men are old men."
9603,neutral,A group of people look over ledge.,The group of people are looking up.,Looking over a ledge does not imply they are looking up.
9604,entailment,A group of people look over ledge.,The group of people are looking down.,One must be looking down to look over a ledge.
9605,entailment,A group of people look over ledge.,The group of people are near the edge of the ledge.,A group of people are near the edge  which is a ledge
9606,contradiction,A mother peacefully works on making a beautiful and colorful mat while her son admires her skills.,A father beats his kid.,The subject cannot be a mother and father simultaneously.
9607,entailment,A mother peacefully works on making a beautiful and colorful mat while her son admires her skills.,A mother works peacefully on making a beautiful and colorful mat while her son admires her skills.,"""Works peacefully on making a beautiful and colorful mat"" is a rephrasing of ""peacefully works on making a beautiful and colorful mat""."
9608,entailment,A mother peacefully works on making a beautiful and colorful mat while her son admires her skills.,A mother works in peace.,"""A mother peacefully works"" is a rephrase of ""a mother works in peace."""
9609,entailment,A soldier is holding a gun and crouched down with is mouth covered by a cloth.,A man is holding a gun.,"Men can be soldiers, the word soldier can be substituted for man."
9610,neutral,A soldier is holding a gun and crouched down with is mouth covered by a cloth.,A soldier has his mouth covered by the American flag.,Just because a soldier has his mouth covered by a cloth doesn't mean his mouth is covered by the American flag  
9611,contradiction,A soldier is holding a gun and crouched down with is mouth covered by a cloth.,The solder is sipping tea inside.,A solder cannot be holding a gun and crouched down while sipping tea.
9612,entailment,People of another country are gathered at the farmer's market.,Foreigners are assembled at a market.,Foreigners or People of another country grouped at a market
9613,entailment,People of another country are gathered at the farmer's market.,Some people are assembled at the market.,People gathered together are assembled
9614,contradiction,People of another country are gathered at the farmer's market.,Foreigners assembled at a clothing store.,A farmer's market and a clothing store are two separate and distinct places.
9615,neutral,A group of young men in sports uniforms from two opposing teams are in vigorous play on a grassy field.,Men play soccer on the field,Men being in vigorous play on a grassy field are not necessarily playing soccer and could be playing a variety of games or sports.
9616,entailment,A group of young men in sports uniforms from two opposing teams are in vigorous play on a grassy field.,Men in a sports team play on the field,Men ARE PLAYING IN A GRASSY FEILD VIGOROUSLY
9617,contradiction,A group of young men in sports uniforms from two opposing teams are in vigorous play on a grassy field.,Women play sports in the field,A group of young men who are in vigorous play directly contradicts Women playing sports
9618,entailment,A dog running in the sand.,A dog is running outside at the beach.,Beaches are outside and contain sand.
9619,contradiction,A dog running in the sand.,The dog is sitting patiently.,The dog cannot be running and sitting at the same time.
9620,entailment,A dog running in the sand.,A dog is running outside.,sand implies outside
9621,entailment,A man wearing lime green pants and shirt working on a sign.,A man wearing pants and shirt working on a sign.,Pants is a rephrasing of lime green pants.
9622,contradiction,A man wearing lime green pants and shirt working on a sign.,A woman wearing lime green pants and shirt working on a sign.,A man is not a woman.
9623,neutral,A man wearing lime green pants and shirt working on a sign.,A sad man wearing lime green pants and shirt working on a sign.,Not all men are sad.
9624,contradiction,A female swimmer getting out of the pool still dripping wet.,A boy reads a comic.,A boy is not female. One can't read while getting out of a pool.
9625,neutral,A female swimmer getting out of the pool still dripping wet.,An Olympic swimmer exits the pool.,Not all female swimmers are Olympic swimmers.
9626,entailment,A female swimmer getting out of the pool still dripping wet.,A woman gets out of the pool.,A female which is another word for woman gets out of the pool.
9627,neutral,A woman wearing sunglasses is holding a pink cellphone to her ear.,A woman is talking on her phone with her boyfriend.,You can not infer she is talking with her boyfriend.
9628,entailment,A woman wearing sunglasses is holding a pink cellphone to her ear.,A lady is on her cellphone.,"If the woman has a cellphone to her ear, she is a lady on a cellphone."
9629,contradiction,A woman wearing sunglasses is holding a pink cellphone to her ear.,A lady is having surgery.,woman wearing sunglasses is holding a pink cellphone cannot be performing surgery
9630,neutral,"Two women are standing under an umbrella together, in front of a bandstand.",The women are holding a umbrella because it is raining on them.,"Women can stand under an umbrella without holding it. Also, people can stand under umbrellas even if it's not raining on them."
9631,contradiction,"Two women are standing under an umbrella together, in front of a bandstand.",The women are holding up shotguns to protect them from the sun.,An umbrella will protect you from the sun. But shotguns offers no such protection.
9632,entailment,"Two women are standing under an umbrella together, in front of a bandstand.",Women are outside in front of a stand.,The women are outside because they are in front of a bandstand.
9633,contradiction,A child does a handstand in a pool.,An adult dives into a pool.,"A child is not an adult. A handstand is done inside a pool, but to dive into a pool you first must be outside of it."
9634,entailment,A child does a handstand in a pool.,A small boy is in a pool.,"A child is a small boy, and the boy being in a pool shows they're the same person."
9635,entailment,A child does a handstand in a pool.,A child is playing in a pool.,By doing a handstand also shows that the child is playing.
9636,entailment,Rival female basketball teams are playing a game in front of an audience at an indoor arena.,Two female basketball teams are both trying to win the game.,The two female basketball teams are rivals and are both trying to win the game.
9637,contradiction,Rival female basketball teams are playing a game in front of an audience at an indoor arena.,Two female basketball teams are sitting at a restaurant after a game.,The basketball teams cannot be playing a game and sitting at a restaurant simultaneously.
9638,entailment,Rival female basketball teams are playing a game in front of an audience at an indoor arena.,Two female basketball teams are playing a game inside of a building.,They are inside of a building because they are at an indoor arena.
9639,contradiction,"Four people sit on a subway two read books, one looks at a cellphone and is wearing knee high boots.",People are using the bus to get to work.,the bus and a subway are two different forms of transportation. one is above ground and the other is underground.
9640,entailment,"Four people sit on a subway two read books, one looks at a cellphone and is wearing knee high boots.","Multiple people are on a subway together, with each of them doing their own thing.",The word four means the same as multiple and reading books and looking at a cellphone implies that each are doing different and separate  things.
9641,neutral,"Four people sit on a subway two read books, one looks at a cellphone and is wearing knee high boots.",Multple people are using the subway to get to work.,It is not implied that the people are trying to get to work
9642,neutral,An elderly woman pushing a cart filled with boxes walks by theater sign for 'South Pacific'.,A tall person pushing a cart,Not all elderly women are tall.
9643,entailment,An elderly woman pushing a cart filled with boxes walks by theater sign for 'South Pacific'.,A person pushing a cart,"A woman is a person, so the woman has a cart."
9644,contradiction,An elderly woman pushing a cart filled with boxes walks by theater sign for 'South Pacific'.,Nobody is pushing anything,"an elderly woman exists, so she is the opposite of nobody (and has very high self esteem thank you very much)"
9645,neutral,Female sitting in a chair in front of a hazy field.,A woman is waiting for someone.,A woman doesn't have to be waiting for someone to be sitting in a chair.
9646,entailment,Female sitting in a chair in front of a hazy field.,A woman is sitting.,A female is a woman.
9647,contradiction,Female sitting in a chair in front of a hazy field.,A woman runs though a field.,The woman can not sitting and run at the same time.
9648,contradiction,A woman sits on a bed and puts on her red socks.,"A woman is sitting on a bed, taking her socks off",A woman cannot be putting on socks and taking it off at the same time.
9649,entailment,A woman sits on a bed and puts on her red socks.,A woman is sitting on a bed.,If a woman sits on a bed then she is sitting on a bed.
9650,neutral,A woman sits on a bed and puts on her red socks.,"A woman is sitting on her bed, getting dressed for work.",A woman who puts on her red socks doesn't mean she is getting dressed for work.
9651,neutral,"Two competitors in the last leg of a race, strong legs, long strides to the end.",The crowd is cheering them on.,There is not necessarily a crowd cheering them on.
9652,contradiction,"Two competitors in the last leg of a race, strong legs, long strides to the end.",The race has just started.,"if competitors just started the race they can't be at  last leg of a race,"
9653,entailment,"Two competitors in the last leg of a race, strong legs, long strides to the end.",Races can be long and tiring.,A race with a last leg implies a long and tiring multi-leg race.
9654,entailment,"Lonely woman eats alone again, chatting with her internet boyfriend at a diner.",A woman is eating at a diner.,Eating alone is an activity involving eating.
9655,contradiction,"Lonely woman eats alone again, chatting with her internet boyfriend at a diner.",A man is eating alone at home.,On the first sentence there is a woman eating alone while on the second sentence there is a man eating alone.
9656,neutral,"Lonely woman eats alone again, chatting with her internet boyfriend at a diner.",An old woman is eating at a diner.,Not every lonely woman is old.
9657,contradiction,a young girl in red lifting a girl in blue to the top of a wall and lighting.,The girl is wearing green and purple.,They refer to the clothing being red and blue so it can not also be green and purple.
9658,neutral,a young girl in red lifting a girl in blue to the top of a wall and lighting.,They are trying to reach something high up.,You can not infer they are trying to reach something high up.
9659,entailment,a young girl in red lifting a girl in blue to the top of a wall and lighting.,The girl is lifting the other girl.,"'The girl is lifting the other girl' is a less detailed rephrasing of 'girl in red lifting a girl in blue', the colour of their outfits has been omitted."
9660,entailment,A gentleman in a striped shirt gesturing with a stick-like object in his hand while passersby stare at him.,A gentleman in a striped shirt gesturing,"In order to gesture, you must first have an object to be gesturing with, hence the stick-like object in his hand."
9661,contradiction,A gentleman in a striped shirt gesturing with a stick-like object in his hand while passersby stare at him.,A gentleman in a striped shirt not gesturing,He is either gesturing or not gesturing
9662,neutral,A gentleman in a striped shirt gesturing with a stick-like object in his hand while passersby stare at him.,A gentleman in a striped shirt joyously gesturing,Just because someone is gesturing doesn't mean they do so joyously.
9663,neutral,Several firemen stand or sit on a gray roof while working.,Several fireman are putting out a fire on a gray roof.,Putting out a fire is not the only job firemen do.
9664,contradiction,Several firemen stand or sit on a gray roof while working.,Several fireman are playing cards indoors.,"If they stand or sit while working, they are not playing cards."
9665,entailment,Several firemen stand or sit on a gray roof while working.,Several fireman are working on a gray roof.,If several firemen stand or sit on a gray roof while working then they are working on a gray roof.
9666,contradiction,A man standing on a street in the city playing the accordion.,A man is sitting on a bench.,One cannot be standing and sitting at the same time.
9667,entailment,A man standing on a street in the city playing the accordion.,An accordion being played by a man on the street.,In order for a accordion to be played a man needs to be playing it.
9668,entailment,A man standing on a street in the city playing the accordion.,A street performer with his accordion.,Someone who is standing on the street playing an accordion is a street performer.
9669,neutral,A man and a woman are out walking their dogs.,A man and a woman are out walking their dogs while chatting.,A man and woman walking their dogs does not imply they are chatting.
9670,contradiction,A man and a woman are out walking their dogs.,A man and a woman are out walking their pigs.,Dogs are not pigs.
9671,entailment,A man and a woman are out walking their dogs.,The couple are out walking their dogs.,Answers: The couple refers to the man and woman.
9672,contradiction,City workers in bright yellow and green safety suits haul a stack of traffic cones through the snow and past the tree trunk.,"The city workers are sitting under a tree, taking a break.",City workers cannot be hauling traffic cones and sitting under a tree taking a break at the same time.
9673,neutral,City workers in bright yellow and green safety suits haul a stack of traffic cones through the snow and past the tree trunk.,There has been so much snow that the city had to buy more traffic cones.,You can not infer they had to buy more traffic cones.
9674,entailment,City workers in bright yellow and green safety suits haul a stack of traffic cones through the snow and past the tree trunk.,City workers are moving traffic cones through the snow.,""" Haul "" tells us that the city workers are moving something."
9675,neutral,A man in swimming trunks plays in the ocean's waves.,A man is surfing out on the ocean.,He may not be surfing on the waves.
9676,contradiction,A man in swimming trunks plays in the ocean's waves.,A man is sitting on a beach.,swimming and sitting are different actions
9677,entailment,A man in swimming trunks plays in the ocean's waves.,A man is outdoors.,A man swimming in the ocean's waves would be swimming outdoors.
9678,neutral,"A snowboarder in a red jacket flies through the air, above a hill of snow, and next to a red and white sign.",The snowboarder is on a ski lift.,Snowboarders are not always on ski lifts when theyre in the air.
9679,entailment,"A snowboarder in a red jacket flies through the air, above a hill of snow, and next to a red and white sign.",The snowboarder has gotten air.,BOTH SNOWBOARDER ARE IN THE AIR
9680,neutral,"A snowboarder in a red jacket flies through the air, above a hill of snow, and next to a red and white sign.",The snowboarder is a professional.,Not all snowboaders are professional.
9681,contradiction,"A person playing a drum with only their lower torso, hands, drumsticks, and drum showing in the foreground.",A person is playing a guitar.,"Can't play drum with ""hands"" and guitar at the same time."
9682,neutral,"A person playing a drum with only their lower torso, hands, drumsticks, and drum showing in the foreground.",A person is happily playing a drum.,The description of the person playing the drum does not say how happily they are doing it.
9683,entailment,"A person playing a drum with only their lower torso, hands, drumsticks, and drum showing in the foreground.",A person is playing a drum.,Scentence two simplifies scentence one by saying there is a perrson playing a drum
9684,entailment,A woman singer holding a microphone singing at a concert.,a woman singer is singing,A woman is singing in a microphone.
9685,contradiction,A woman singer holding a microphone singing at a concert.,2pac is singing at home,The woman can't sing at home and at the concert at the same time
9686,neutral,A woman singer holding a microphone singing at a concert.,madonna is singing at a concert,We have no idea that the woman is madonna she could be anyone.
9687,neutral,A gentleman carrying the 2012 Olympic torch being follow by a car on a people lined street.,a man stole the 2012 olympic torch and runs from a police officer,The Olympic torch was stole and instead of being followed he runs.
9688,neutral,A gentleman carrying the 2012 Olympic torch being follow by a car on a people lined street.,a man carries the 2012 olympic torch down a street while a person in a car tries to pass him,"The first sentence just says a car is following him, but doesn't explain that the car tries to pass him."
9689,entailment,A gentleman carrying the 2012 Olympic torch being follow by a car on a people lined street.,a man carries the 2012 olympic torch while being followed by a car,It is the 2012 Olympic.
9690,entailment,A boy is outside jumping over a flower bush on a skateboard.,a boy on his skateboard,The boy is on his skateboard if he is on a skateboard.
9691,contradiction,A boy is outside jumping over a flower bush on a skateboard.,a boy on his bike,One cannot be on a bike and skateboard simultaneously.
9692,neutral,A boy is outside jumping over a flower bush on a skateboard.,a boy on his skateboard he got for Christmas,Not all skateboards are Christmas presents.
9693,entailment,"A curly-haired redhead is wearing a blue checkered hat, a black long-sleeve shirt, and blue jeans while holding a red jacket as she speaks to her friends standing behind her.",A redhead is talking to her friends.,"""Talking to her friends,"" is a rephrasing of, ""speaks to her friends."""
9694,neutral,"A curly-haired redhead is wearing a blue checkered hat, a black long-sleeve shirt, and blue jeans while holding a red jacket as she speaks to her friends standing behind her.",Her friends are telling her to hurry up and put her jacket on.,You can not infer they are telling her to hurry up.
9695,contradiction,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,A large group of adults and children stand on a cobblestone street.,sentence two can not be about a large group if sentence one is about a small group
9696,neutral,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,They prepare to go home after a delicious meal,Standing outside the pub does not mean that they go home after a meal there.
9697,entailment,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,The small group stands outside on a stone street,"Small group of adults and children is a small group, and street implies outside."
9698,entailment,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,A small group of adults and children stand on a cobblestone street.,outside an Irish pub is the location of the group
